City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
438,borger,52.9233,6.7931,289.82,95,100,4.47,NL,1697153494
439,al bayda',32.7627,21.7551,288.12,85,0,2.95,LY,1697153495
440,saint-louis,16.3333,-15.0,302.95,48,52,4.46,SN,1697153496
441,colachel,8.1667,77.25,298.19,89,100,1.48,IN,1697153496
442,matoury,4.8483,-52.3317,301.13,78,0,1.03,GF,1697153498
443,siracusa,37.0881,15.2792,293.8,74,0,1.73,IT,1697153314
444,vrangel',42.7297,133.0839,288.46,56,0,2.81,RU,1697153499
445,mezhdurechenskiy,59.6,65.9333,276.65,89,100,2.68,RU,1697153499
446,tortoli,39.9256,9.6572,293.05,83,0,3.6,IT,1697153500
447,weno,7.4515,151.8468,302.12,89,100,1.54,FM,1697153501
448,kishapu,-3.6167,33.8667,295.55,56,89,3.12,TZ,1697153501
449,zakynthos,37.7914,20.8953,291.28,68,0,2.72,GR,1697153502
450,port blair,11.6667,92.75,298.17,100,40,0.0,IN,1697153503
451,holualoa,19.6228,-155.9522,300.25,67,75,4.63,US,1697153503
452,tomatlan,19.9333,-105.25,300.0,81,12,2.41,MX,1697153504
453,jawf al maqbabah,13.8378,45.8349,295.25,73,24,1.38,YE,1697153504
454,nykobing mors,56.7933,8.8528,284.89,80,72,3.91,DK,1697153505
455,caibarien,22.5206,-79.4669,302.77,78,89,3.83,CU,1697153506
456,nakhon si thammarat,8.25,100.0,299.15,83,86,1.48,TH,1697153506
457,letterkenny,54.95,-7.7333,279.99,93,100,1.83,IE,1697153507
458,beboto,8.2668,16.939,295.73,92,99,0.79,TD,1697153507
459,kayyerkan,69.3786,87.7439,271.65,100,100,1.09,RU,1697153508
460,aleksandrov gay,50.147,48.5704,279.7,48,73,8.66,RU,1697153509
461,hrubieszow,50.805,23.8925,286.0,97,100,3.11,PL,1697153509
462,fort mcmurray,56.7268,-111.381,291.92,42,0,3.6,CA,1697153447
463,novoishimskiy,53.1981,66.7694,276.47,64,25,6.84,KZ,1697153511
464,xiongzhou,25.1167,114.3,293.63,76,72,1.35,CN,1697153511
465,alice springs,-23.7,133.8833,293.9,19,0,9.26,AU,1697153280
466,oppdal,62.5943,9.6912,272.32,85,100,4.02,NO,1697153512
467,pemangkat,1.1667,108.9667,300.62,79,88,2.55,ID,1697153513
468,kruisfontein,-34.0033,24.7314,286.94,82,1,9.98,ZA,1697153514
469,aketi,2.7388,23.7833,294.73,97,48,0.69,CD,1697153514
470,hovd,48.0056,91.6419,280.43,41,17,2.53,MN,1697153515
471,coutances,49.05,-1.4333,290.83,85,100,6.79,FR,1697153515
472,pohang,36.0322,129.365,291.62,68,100,1.34,KR,1697153516
473,mulayjah,27.271,48.4242,300.92,46,0,2.8,SA,1697153516
474,san sebastian de la gomera,28.0916,-17.1133,301.35,26,0,0.51,ES,1697153517
